| Communications | Liechtenstein |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 14,337 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 36.91 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 49,355 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 127.06 (2019 est.) |
| Telecommunication systems: | general assessment: automatic telephone system; 44 Internet service providers in Liechtenstein and Switzerland combined; FttP (fiber to the home) penetration marketed 3rd highest in EU; fiber network reaches 3/4 of the population (2020) |
| Telecommunication systems: | domestic: fixed-line 37 per 100 and mobile-cellular services 127 per 100 (2019) |
| Telecommunication systems: | international: country code - 423; linked toÂ Swiss networks by cable and microwave radio relay |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | relies on foreign terrestrial and satellite broadcasters for most broadcast media services; first Liechtenstein-based TV station established August 2008; Radio Liechtenstein operates multiple radio stations; a Swiss-based broadcaster operates one radio station in Liechtenstein |
| Internet country code: | .li |
| Internet users: | total: 37,815 |
| Internet users: | percent of population: 98.1% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 16,712 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 43 (2018 est.) |
